Month,Time_Difference
1,150.13750613080498
2,152.16112151815116
3,194.28974570641566
4,119.63918488083063
5,86.62287636022427
6,86.89488002492416
7,99.5401364419103
8,81.42062740591064
9,23.597738500921828
