Incident_Zip,average_time_per_month,Month
10039,83.92510362162717,6
10039,115.81302613574164,7
10039,63.43305280800088,8
10039,16.79490850970018,9
10039,0.0,10
10039,0.0,11
10039,0.0,12
10040,119.21175916350684,1
10040,106.04499049100968,2
10040,190.03694160775072,3
10040,121.42326219226808,4
10040,37.60228060225958,5
10040,20.680400378911788,6
10040,41.25305380073496,7
10040,31.916680768197686,8
10040,13.045922802763082,9
10040,0.0,10
10040,0.0,11
10040,0.0,12
10041,251.56965277777775,1
10041,0.0,2
10041,24.711388888888887,3
10041,0.055,4
10041,0.0,5
10041,66.90194444444445,6
10041,19.02,7
10041,25.04652777777778,8
10041,11.008,9
10041,0.0,10
10041,0.0,11
10041,0.0,12
10044,99.84869883040936,1
10044,25.02361111111111,2
10044,356.1059188034188,3
10044,105.2958111111111,4
10044,14.57776094276094,5
10044,44.05511229314421,6
10044,260.7818686868687,7
10044,59.79347670250896,8
10044,88.42696581196581,9
10044,0.0,10
10044,0.0,11
10044,0.0,12
10045,35.85861111111111,1
10045,144.76000000000002,2
10045,0.0,3
10045,0.1569444444444444,4
10045,1.0094444444444444,5
10045,0.0,6
10045,0.0,7
10045,898.1130555555555,8
10045,11.294027777777778,9
10045,0.0,10
10045,0.0,11
10045,0.0,12
10048,0.0,1
10048,0.0,2
10048,0.0,3
10048,0.0,4
10048,0.0,5
10048,0.0,6
10048,0.0,7
10048,0.2086111111111111,8
10048,7.65,9
10048,0.0,10
10048,0.0,11
10048,0.0,12
10055,0.0,1
10055,166.79861111111111,2
10055,0.0,3
10055,0.0,4
10055,0.0,5
10055,0.0,6
10055,0.0,7
10055,0.0,8
10055,230.31333333333333,9
10055,0.0,10
10055,0.0,11
10055,0.0,12
10065,181.71607739665788,1
10065,202.3405875509017,2
10065,179.62758888888888,3
10065,56.990033444816056,4
10065,64.56169270833333,5
10065,75.49697633434039,6
10065,124.62379925925929,7
10065,83.12419107091588,8
10065,31.570691434468525,9
10065,0.0,10
10065,0.0,11
10065,0.0,12
10069,121.90222222222222,1
10069,93.36195555555555,2
10069,162.19824074074074,3
10069,176.33378600823048,4
10069,69.76219696969697,5
10069,92.21061447811448,6
10069,62.991085858585855,7
10069,24.07371212121212,8
10069,10.480530303030305,9
10069,0.0,10
10069,0.0,11
10069,0.0,12
10075,153.98618992695117,1
10075,127.19401180797522,2
10075,353.8232791977281,3
10075,288.2429024342363,4
10075,140.5117958152958,5
10075,165.35383580570098,6
10075,197.70220298553403,7
10075,129.2595909090909,8
10075,38.92618427069044,9
10075,0.0,10
10075,0.0,11
10075,0.0,12
10103,38.09034722222222,1
10103,249.18166666666667,2
10103,0.3594444444444444,3
10103,0.0,4
10103,0.0211111111111111,5
10103,0.0,6
10103,94.315,7
10103,0.5601388888888889,8
10103,2.7198611111111117,9
10103,0.0,10
10103,0.0,11
10103,0.0,12
10105,103.34796296296297,1
10105,0.0,2
10105,573.2024305555556,3
10105,0.1247222222222222,4
10105,2.05375,5
10105,0.0,6
10105,69.4225,7
10105,0.7172222222222222,8
10105,4.6752777777777785,9
10105,0.0,10
10105,0.0,11
10105,0.0,12
10106,0.0,1
10106,1.3,2
